,AAPL,AMZN,CVS,UNH,WMT,ARIMA_AAPL,RF_AAPL,ARIMA_AMZN,RF_AMZN,ARIMA_CVS,RF_CVS,ARIMA_UNH,RF_UNH,ARIMA_WMT,RF_WMT
2024-04-05,169.5800018310547,185.07000732421875,74.58000183105469,455.739990234375,59.84999847412109,198.3184037861197,173.21909866333007,151.27075723363927,158.86598281860353,78.86779835265341,101.17089828491213,542.663840581625,518.6745123291016,52.89012171401082,50.67760097503662
2024-04-08,168.4499969482422,185.19000244140625,74.44000244140625,456.0,59.77999877929688,198.402342094644,168.2993002319336,151.26095113363098,151.77582244873048,78.86645799763691,103.61319869995116,542.8991260958277,533.3011071777344,52.89503237074169,51.49526714324952
2024-04-09,169.6699981689453,185.6699981689453,73.36000061035156,459.7200012207031,59.790000915527344,198.4862804031683,167.96350036621095,151.25114503362272,151.58354385375978,78.86511764262043,103.975099029541,543.1344116100305,534.8135083007812,52.89994302747256,51.55046714782715
2024-04-10,167.77999877929688,185.9499969482422,71.1500015258789,450.0499877929688,60.619998931884766,198.57021871169263,168.13189849853515,151.24133893361446,151.87886535644532,78.86377728760395,104.68800033569336,543.3696971242332,536.0655072021484,52.90485368420343,51.89133365631103
2024-04-11,175.0399932861328,189.0500030517578,69.73999786376953,441.7200012207031,60.09000015258789,198.65415702021693,167.49129684448243,151.23153283360617,152.4788703918457,78.86243693258747,104.32670051574706,543.604982638436,536.3367071533203,52.9097643409343,52.0678670501709
2024-04-12,176.5500030517578,186.1300048828125,68.63999938964844,439.2000122070313,60.13999938964844,198.7380953287412,166.79689682006835,151.2217267335979,152.86391021728517,78.86109657757099,105.25380073547365,543.8402681526388,539.2326159667969,52.91467499766518,52.0023673248291
2024-04-15,172.69000244140625,183.6199951171875,68.95999908447266,445.6300048828125,59.93000030517578,198.82203363726552,163.40380004882812,151.2119206335896,151.30497146606444,78.8597562225545,103.9914991760254,544.0755536668415,533.3417141723633,52.91958565439605,51.82119983673096
2024-04-16,169.3800048828125,183.32000732421875,69.02999877929688,468.8900146484375,59.84000015258789,198.90597194578984,164.48209884643555,151.20211453358135,152.3918016052246,78.85841586753801,103.9496997833252,544.3108391810443,533.3670153808594,52.92449631112692,52.06503299713135
2024-04-17,168.0,181.27999877929688,68.5999984741211,478.989990234375,59.650001525878906,198.9899102543141,165.49029724121092,151.19230843357306,153.5123356628418,78.85707551252153,104.49130027770995,544.546124695247,535.2233096313477,52.929406967857794,52.40053287506103
2024-04-18,167.0399932861328,179.22000122070312,69.38999938964844,493.1799926757813,59.2599983215332,199.0738485628384,165.76699798583985,151.1825023335648,153.37448608398438,78.85573515750505,104.47310005187988,544.7814102094499,536.3469076538086,52.934317624588665,52.75193340301514
